formulaire029-equation019	h_{00}(t) = 2t^3-3t^2+1
124_Fabricio	\sum_{i=1}^k \frac{x^{a_i}}{1-x^{b_i}} = \frac{1}{1-x}
200923-1553-233	 { G } _ { \mbox { f } } 
rit_42125_2	 z \rightarrow z ^ {n} 
formulaire010-equation027	(a_1,\ldots,a_k)
formulaire033-equation065	(198 + 188) \times 158 \neq 2512
200926-1550-60	 \frac { \beta + \gamma } { \theta } 
MfrDB1561	{2^{x + 1}} - {2^{x}} = 16
MfrDB3547	| \sin z | = \sqrt{1 - \cos^{2} z}
MfrDB0911	5 + 5
200923-1253-161	 E 
MfrDB3527	\int\limits_{0}^{+ \infty} {x^{n}} {e^{- x}} dx = n !
92_rosario	y = \frac{x\prime\sin\theta+y\prime\sin(w\prime+\theta)}{\sin w}
200926-131-72	 \sqrt { 1 + \sqrt { 1 + \sqrt { 1 + \sqrt { x } } } } 
formulaire014-equation014	\lim_{x \rightarrow a}\frac{f(x)}{g(x)} = 1
formulaire007-equation002	10^{6,5}
formulaire015-equation015	((26  99)  190) - ((135 \times 114)  108) \geq -142
formulaire015-equation001	c = 13
MfrDB2254	{a^{2}} + {b^{2}} = {c^{2}}
formulaire035-equation073	z=r(\cos\theta+i\sin\theta)
TrainData2_6_sub_63	\frac{1}{a} F \left( a x + b \right) + C
518_em_426	\pi \int_{-R}^R R^2dx-\pi\int_{-R}^R x^2dx
200926-1550-140	 { F } ^ { p } 
2009220-1327-83	 { 7.7 + 1 } 
MfrDB1265	\int\limits_{0}^{\infty} \sqrt{x} {e^{- x}} dx = \frac{1}{2} \sqrt{\pi}
formulaire016-equation008	a^2(a^4 - 6a^2 + 9) - 36 = -8a^2
formulaire017-equation026	\frac{1}{2}(3x^2-1)
200923-1251-1	 \int _ { 0 } ^ { \infty } \frac { z } { \sqrt { z ^ 3 + 14 } } d z 
127_em_489	dx^{\mu}
200924-1312-123	 \sum { \alpha } 
200922-1017-142	 s 
formulaire024-equation036	10^{7}
formulaire028-equation058	s = 3
KME2G3_2_sub_96	[ b^x \{ ( \frac a b )^x + 1 \} ]^{\frac 1 x}
TrainData1_3_sub_5	e^{i \pi} + 1 = 0
2009212-1031-13	 \int ^ { n } _ { { z o } } { \mbox { p } - B } dd 
200923-1251-183	 { \alpha s } 
MfrDB2271	( x + y ) z = x z + y z
91_david	\sin \theta = \frac{y}{\sqrt{x^2 + y^2}}
TrainData2_2_sub_95	\sqrt{1 + \sqrt{2 + \sqrt{3 + \sqrt{4}}}}
TrainData2_10_sub_13	\frac{\sin \theta + \cos \theta + \tan \theta}{x + y + z}
2009212-1031-137	 \mbox { b } 
MfrDB1509	1 + \tan^{2} y = \frac{1}{\cos^{2} y}
formulaire054-equation055	45 - 98 + 170 - 125 + 76 \neq 77
MfrDB0092	p ( z ) = 3 \cdot ( z - a ) \cdot ( z - b ) \cdot ( z - c )
501_em_15	\frac{29302}{75803} = \frac{7\times 7\times 13\times 46} {7\times 7\times 13\times 119} = \frac{46}{119} 
formulaire017-equation022	\frac{3p^2-3p+1}{pq}
26_em_91	k[a^{-1}]
MfrDB1633	\frac{( z - 2 )}{( 7 - z )}
126_em_476	G,H
MfrDB2585	{x^{y}} - {y^{x}}
MfrDB1228	{e^{i \pi}} + 1 = 0
KME1G3_4_sub_26	\sin ( \alpha + \beta ) \sin ( \alpha - \beta ) = \sin^2 \alpha - \sin^2 \beta
KME2G3_25_sub_35	\log_2 \frac 1 2 + \log_4 \frac 2 4
formulaire020-equation054	\frac{a_1+\ldots+a_n}{b_1+\ldots+b_n}
512_em_285	X_n^2
200923-131-224	 \left ( E \right ) 
200923-1251-173	 \mbox { y } 
MfrDB1513	\cos^{3} y = \frac{1}{4} ( \cos 3 y + 3 \cos y )
200924-1331-181	 \frac { \int G dn } { { d C } } 
200923-1553-222	 9 
200922-949-109	 o 
KME2G3_6_sub_35	\log_2 \frac 1 2 + \log_4 \frac 2 4
RIT_2014_85	 \frac {56 \div 7} {63 \div 7} = \frac {8} {9} 
515_em_361	{\sqrt{7}+2\sqrt{7}}={1\sqrt{7}+2\sqrt{7}}={3\sqrt{7}}
200924-1331-148	 3.2 
RIT_2014_100	 a \geq b 
formulaire030-equation018	- \frac{1}{r^2}
formulaire041-equation006	\frac {9 }{ 4}
formulaire016-equation022	(1-t^n)a_n(t) = \frac {1-t^n}{n(1-t)} -t^n
rit_4220_0	 a + h 
98_maira	\cos \alpha = \frac{a}{\sqrt{a^2 + b^2 + c^2}}
81_mijail	A_{2k} = \frac{2RA_k}{2R + \sqrt{4R^2 + A^2_k}}
200926-1617-131	 { q \sum _ { { R \gt m } } { { \mbox { G } - z } } } 
TrainData2_18_sub_11	\sqrt{x - y - z + x^{2} + y^{2} + z^{2}}
MfrDB2129	\lim_{n \to \infty} \frac{{n^{2}} + 3 n}{2 {n^{2}} + 1} = \frac{1}{2}
TrainData2_8_sub_13	\frac{\sin \theta + \cos \theta + \tan \theta}{x + y + z}
formulaire010-equation063	(X^3-1)^2=2
formulaire056-equation068	12=2y
KME2G3_18_sub_96	[ b^x \{ ( \frac a b )^x + 1 \} ]^{\frac 1 x}
200922-1017-15	 { { \mu + \sum { \mbox { A } } } \leq \sum { \mbox { j } } } 
MfrDB1292	\lim_{n \to \infty} | x_{n + 1} - x_{n} |
105_em_88	M(22)
26_em_85	\log_ug \!
2009220-1327-45	 \left ( \lambda \right ) 
200922-1017-102	 z 
104_em_50	To = \sqrt{\frac {2H} g}
MfrDB3362	x \lt \frac{c - b}{a}
formulaire015-equation026	\sum a_n(x)
KME2G3_16_sub_26	x_1 \times x_2 \times x_3 \times x_4 = X
MfrDB2494	\frac{10 0 !}{9 7 ! \cdot 6 !}
MfrDB0237	{e^{i \pi}} + 1 = 0
2009212-1031-128	 \frac { b } { \sum { \mbox { N } } } 
formulaire027-equation001	\frac{7}{2}
118_em_238	I=10
118_edwin	P(x) = \sum_{i=0}^{n} a_j x^j
TrainData2_12_sub_9	\sqrt{b^{2} - 4 a c}
formulaire007-equation064	a + bm
90_leissi	y = r \sin \theta
formulaire007-equation007	(\theta, \phi)
107_leo	a^2 + b^2 = (a+bi)(a-bi)
KME2G3_9_sub_26	x_1 \times x_2 \times x_3 \times x_4 = X
formulaire027-equation023	\sum x_n
formulaire030-equation069	2^i=3^j
formulaire019-equation058	\frac {2}{15} \times 7 \times \frac {1} {11} = \frac {2 \times 7}{15} \times \frac {1}{11}
formulaire056-equation045	194 \times (46 + 161 + 55) \neq -936
formulaire014-equation004	{v=-eu}
MfrDB0574	\sqrt{( 1 + 5 \times 12 )}
formulaire014-equation046	a=b=c
118_em_245	S^1 \times R^{n-1}
TrainData2_12_sub_49	1 + \frac{1}{1 !} + \frac{1}{2 !} + \frac{1}{3 !} + \frac{1}{4 !}
formulaire035-equation021	6 \times n + 1
formulaire031-equation056	x_1(y)
MfrDB3103	\sum_{n = 1}^{\infty} {( \frac{\sum_{i = 1}^{n} a_{i}}{n} )^{p}} \lt {( \frac{p}{p - 1} )^{p}} \sum_{n = 1}^{\infty} {a_{n}^{p}}
formulaire032-equation008	k(x) = g(x)
MfrDB2992	| \int\limits_{a}^{b} f ( x ) dx | \leq \int\limits_{a}^{b} | f ( x ) | dx
TrainData2_11_sub_29	x^{i + 2 j \times k^{3} - 2 \frac{j}{i}}
formulaire021-equation071	2x^{4} + (1 + \sqrt{17})x^{3} - (3 - \sqrt{17})x^{2} + 2(2 - \sqrt{17})x - 2
rit_42140_1	 \frac {\pi ^ {2}} {6} B ^ {2} 
200922-1017-89	 { z } _ { \mbox { y } } 
RIT_2014_23	 1 s ^ {2} 2 s ^ {2} 2 p ^ {1} 
200926-1617-162	 { - { \mbox { A } \mbox { c } } } 
200926-131-82	 \int 2.7 dH 
formulaire038-equation007	(n,1)
MfrDB3034	\lim_{n \to \infty} ( x_{n}  y_{n} ) = L_{1}  L_{2}
formulaire004-equation068	a_{n}=n^{-\beta}
200923-1254-33	 \mbox { oP } 
TrainData2_25_sub_61	\int \left( 2^{x} - 3 e^{x} \right) d x
31_em_193	r_i+dr_i,p_i+dp_i
formulaire028-equation004	g_i (x,y,z) = 0
200923-131-192	 { \mbox { o } } ^ { { \theta + \mbox { r } } } 
200922-947-167	 { { { \beta } ^ { { \mbox { E } + e } } + 0 } \lt \int \beta dk } 
513_em_301	\sin(-B) = -\sin B
KME2G3_22_sub_38	\frac 2 {\frac {3 m - 2 n \times 9^n - 9^m} {2 n - 1}}
200926-1617-130	 \left ( \mbox { i } \right ) 
formulaire002-equation057	d_{q2}^{2}+d_{23}^{2}+d_{34}^{2}
formulaire032-equation061	\alpha(c)
36_em_40	\frac{15!}{10!5!}
MfrDB1690	2 l o g ( x - 3 ) = l o g ( 5 - x )
20_em_42	17
TrainData2_0_sub_17	x_{1} - x_{2} + y_{1} - y_{2} + z_{1} - z_{2}
95_david	b= c \sin B = c \cos A
formulaire015-equation019	\cos (\pi+t)=-\cos (t)
23_em_73	B_{m+1}
200923-1553-284	 1.3 
formulaire008-equation013	(a + b)^2 = a^2 + 2ab + b^2
KME2G3_11_sub_35	\log_2 \frac 1 2 + \log_4 \frac 2 4
formulaire014-equation054	w_n=f_n
formulaire048-equation046	ax + b y + c = 0
200922-947-78	 \frac { x_1 } { \frac { x_2 } { \frac { x_3 } { x_4 } } } 
MfrDB2972	m ( b - a ) \leq \int\limits_{a}^{b} f ( x ) dx \leq M ( b - a )
formulaire007-equation027	(nxm)
MfrDB3194	\lim_{n \to \infty} ( x_{n}  y_{n} ) = L_{1}  L_{2}
rit_4240_3	 4 \sqrt {3} 
200923-1254-228	 \frac { v } { { - n } } 
200924-1331-204	 \sqrt { 5.1 } 
formulaire025-equation044	(e_1, \ldots, e_n)
formulaire002-equation070	148 - 141 \neq -4
formulaire025-equation070	154 \times 186 \leq 28644
MfrDB1960	\int\limits_{a}^{a} f ( x ) dx = 0
formulaire004-equation000	((56 \times 52) \div 135) + (34 - (74 \times 92)) \geq -6752
formulaire036-equation025	45  111 \geq 0
200923-1254-261	 { S } _ { { \mbox { C } } _ { \mbox { z } } } 
rit_42130_3	 lim _ {x \rightarrow + \infty} \sqrt {x} = + \infty 
RIT_2014_189	 \sqrt {648 + 648} ABOVE {4} + 8 
formulaire022-equation069	\lim_{n} \frac{1}{n} \sum_{k=0}^{n-1} f(X_k)
MfrDB2638	E = E_{k} + E_{p}
formulaire011-equation031	\frac{2(n+\alpha)}{n+1}
MfrDB3433	\int\limits_{0}^{\infty} \sqrt{x} {e^{- x}} dx = \frac{1}{2} \sqrt{\pi}
formulaire038-equation066	x_n=\frac{n^2}{n+1}
formulaire021-equation057	i(t)
MfrDB3551	| a - b | \leq | a - c | + | c - b |
MfrDB1588	s = s_{0} t + \frac{1}{2} a {t^{2}}
23_em_60	\frac{2}{3} + \frac{1}{9} = (\frac{7}{9})
formulaire031-equation059	(q_i,p_i)
TrainData2_20_sub_63	\frac{1}{a} F \left( a x + b \right) + C
MfrDB2121	\int\limits_{a}^{a} f ( x ) dx = 0
rit_4275_2	 \frac {3} {4} 
formulaire005-equation031	\pm i a
200922-949-13	 \sqrt { 1 + \sqrt { 1 + z ^ 2 } } 
TrainData2_11_sub_95	\sqrt{1 + \sqrt{2 + \sqrt{3 + \sqrt{4}}}}
2009210-947-45	 { { \mbox { x } + C } \gt \mbox { C } } 
formulaire030-equation066	7\times 2
MfrDB1790	\frac{5}{x + 1} + \frac{5}{{x^{2}} + x}
formulaire028-equation008	f^{-1}
KME2G3_8_sub_81	\pi \int_c^d \{ g ( y ) \}^2 d y
formulaire027-equation064	\frac{a}{p-a}
200922-949-269	 \sum _ { { X \gt a } } { { \alpha - c } } 
TrainData2_7_sub_15	\left( x^{3} - x^{2} - x \right) \left( 2 x - 7 \right)
rit_4255_3	 \sqrt {x y z} 
formulaire021-equation027	\lim_{x \rightarrow +\infty} \sqrt{x} = +\infty
MfrDB1448	\frac{{x^{4}}}{{2^{3}}} - {( \frac{2}{x} )^{- 4}}
001-equation007	\forall y\in A
MfrDB3475	\lim_{n \to \infty} ( x_{n}  y_{n} ) = L_{1}  L_{2}
2009210-947-221	 \mbox { j } 
formulaire005-equation063	(X - r_0)^2
2009220-1327-74	 e_ { f_ { g_h } } 
124_em_411	V_r = V_i
518_em_433	\mathrm{M}^n
TrainData2_17_sub_20	a + b + c + d + e
formulaire010-equation053	\frac{3}{4}
TrainData2_18_sub_39	\sin x - \sin y - \sin \left( x - y \right)
MfrDB1470	\sum_{i = 1}^{n} i = \frac{1}{2} n ( n + 1 )
121_em_313	\Delta w_{ij}=f(y_i)\times g(y_j)
KME2G3_11_sub_95	\sqrt {1 + \sqrt {2 + \sqrt {3 + \sqrt 4}}}
MfrDB0104	c \cdot {( \sqrt[3]{2} )^{2}} + b \cdot ( \sqrt[3]{2} ) + a = 0
formulaire023-equation016	x^n=r
formulaire001-equation010	151 \pm 143 \div 97
200922-947-86	 \int ^ { { - r } } _ { \frac { E } { \mbox { y } } } { - \mbox { o } } dM 
200922-947-41	 \sqrt { \mbox { F } } 
200923-131-19	 x ^ 2 + y ^ 2 = z ^ 2 
MfrDB3558	{x^{2}} - x - 6 \lt 0
200926-1550-119	 \left [ { \mbox { x } } _ { i } \right ] 
200923-1253-196	 \mbox { F } 
RIT_2014_273	 \frac {1} {3} + \frac {2} {3} = \frac {3} {3} 
200922-949-185	 \mbox { H } 
200923-1251-280	 { \mbox { u } \mbox { M } } 
200926-1550-44	 \sin \left ( \frac { \pi } { 4 } \right ) = \frac { 1 } { \sqrt { 2 } } 
formulaire025-equation015	(140  16) \times 92 \leq 805
formulaire031-equation005	(88 - 185 + 99)  153 \neq 0
RIT_2014_148	 \frac {5} {6} \neq \frac {4} {3} 
200926-1550-11	 41 
formulaire014-equation067	\sum_{k=0}^{m-1} k^n = 0^n + 1^n + 2^n + \ldots + {(m-1)}^n
MfrDB1905	{6^{6}} \cdot {6^{2}} = {( {6^{x}} )^{4}}
200923-1556-114	 \sqrt { G } 
formulaire013-equation027	\lim_{x \rightarrow 0} \frac{e^x - 1}{x} = 1
KME2G3_22_sub_22	x_x^x + y_y^y + z_z^z - x - y - z
formulaire025-equation009	g(gv,gw)=g(v,w)
MfrDB3372	f^{'} ( x ) = \frac{1}{2 \sqrt{x}}
101_caue	S = \Bigg( \sum_{i=1}^{n} \theta_i - (n-2)\pi \Bigg)r^2
200926-1617-238	 1.2 
200923-131-216	 { \mbox { a } + \pi } 
formulaire011-equation013	\sin^2(x) = 1-\cos^2(x)
RIT_2014_164	 n - n _ {1} - \ldots - n _ {p _ {- 1}} 
2009213-139-95	 { \gamma } ^ { \sqrt { v } } 
formulaire005-equation033	\sum \frac{f(n)}{n^s}
formulaire028-equation066	2x10^{19}
TrainData2_21_sub_73	\alpha_{n + 1} - 3 \beta = \frac{2}{3} \alpha_{n} + \beta - 3 \beta
MfrDB3425	\int\limits_{0}^{1} \sqrt{x} dx
formulaire013-equation070	42 \times 172 \geq 7223
MfrDB1548	\frac{b}{{a^{2}} - a} - \frac{b}{a - 1}
formulaire020-equation071	\frac{f(x)}x=\sin\frac1x
formulaire006-equation006	3^{n+1} + 2
formulaire019-equation020	133 + 145 \neq -88
MfrDB2252	1 - P ( t ) = - P ( t )
formulaire031-equation036	x^3 - 3x + 1
formulaire020-equation012	\frac{1}{2}a p
formulaire039-equation037	r_k=t_k+\frac{q}{2}
200922-947-79	 \frac { \frac { \frac { x_4 } { x_3 } } { x_2 } } { x_1 } 
108_alfonso	a^xa^y = a^{x+y}
KME1G3_4_sub_22	\lim_{x \rightarrow \infty} \int_0^x e^{- y^2} d y = \frac {\sqrt \pi} 2
200923-1556-119	 { - q } 
2009213-139-130	 \frac { { \cdots + { \mbox { T } u } } } { \sum { { \mbox { p } - \mbox { m } } } } 
KME1G3_2_sub_29	( a^2 + b^2 ) ( c^2 + d^2 ) \geq ( a c + b d )^2
200923-1556-172	 \mbox { t } 
200923-1251-26	 a + \frac { \sqrt { b + c } } { 2 } 
formulaire056-equation038	x+ (-x) = -x + x = 0
MfrDB2387	{( a )^{- 1}} - 1
TrainData2_14_sub_9	\sqrt{b^{2} - 4 a c}
TrainData2_1_sub_63	\frac{1}{a} F \left( a x + b \right) + C
formulaire038-equation061	x_{1} + x_{2} = - \frac { b}{a}
formulaire011-equation011	\sin x = \frac{a}{\sqrt{1+a^{2}}}
rit_4220_1	 9 \times 9 
crohme_f043-eq058	1-e^{1}
2009213-137-238	 \frac { f } { \sum { f } } 
200924-1312-205	 \int { \mbox { g } h } dv 
34_em_226	t-s
formulaire042-equation044	5,0 \times 10^{-8}
200922-1017-81	 { { \mbox { b } } _ { Y } + 8.5 } 
TrainData2_3_sub_73	\alpha_{n + 1} - 3 \beta = \frac{2}{3} \alpha_{n} + \beta - 3 \beta
18_em_14	\frac{dy}{dx} = \frac{1}{\frac{dx}{dy}}
2009213-139-7	 \sum _m f \left ( m + 3 \right ) 
TrainData2_0_sub_73	\alpha_{n + 1} - 3 \beta = \frac{2}{3} \alpha_{n} + \beta - 3 \beta
formulaire015-equation070	69 + 42 = 111
KME2G3_13_sub_26	x_1 \times x_2 \times x_3 \times x_4 = X
200926-131-32	 a x ^ 4 + b x + c = 0 
MfrDB3218	{x^{2}} = {x^{3}}
200923-1251-196	 \left [ \mbox { o } \right ] 
200924-1331-165	 0.3 
200924-1312-84	 \frac { x } { a + \frac { x } { b - \frac { x } { c } } } 
118_em_227	L_v = 3335 - 2,91T
formulaire055-equation023	\frac{1}{1+x}
rit_4250_2	 \sqrt {28} 
formulaire011-equation039	g_a(r)=m-1
MfrDB2423	\int\limits_{0}^{1} \int\limits_{0}^{1} {x^{2}} {y^{2}} dx dy
rit_4250_3	 \sqrt {18} 
formulaire012-equation022	s_i s_j = s_j s_i
MfrDB3199	\sqrt[n]{\frac{n + 1}{{( n - 1 )^{2}}}}
MfrDB2211	\sqrt{x} = 1 {0^{( l o g x )  2}}
formulaire022-equation061	\beta_{n+1}
200924-1331-162	 \left ( \mbox { G } \right ) 
200923-131-54	 \log _2 \left ( 2 ^ 5 \right ) = 5 
200923-1556-13	 \sqrt { 1 + \sqrt { 1 + z ^ 2 } } 
121_em_322	\mu=m_1-m
formulaire012-equation003	4 \pi d^2
formulaire017-equation003	\theta^{(0)}
2009212-1031-17	 { V + 2 } 
formulaire020-equation059	1,397162 \times 10^{316}
501_em_12	 \frac{T_H^{\frac{f}{2}}V_2}{T_H^{\frac{f}{2}}V_1} = \frac{T_C^{\frac{f}{2}}V_3}{T_C^{\frac{f}{2}}V_4}
formulaire053-equation031	\alpha_i - 1
formulaire009-equation000	157 \times (50 \times (89 \times 18)) = 12575700
28_em_135	e_2-2e_1
formulaire031-equation039	y_p = -3
TrainData2_3_sub_11	\sqrt{x - y - z + x^{2} + y^{2} + z^{2}}
36_em_45	x+(-x)\geq0+(-x)
formulaire026-equation014	(a_{i,j})
formulaire031-equation020	(149 + (22  88)) - (58  (18  4)) = 136.36
106_em_115	R_d = R_f
200923-1253-118	 { a } _ { f } 
formulaire020-equation037	\sum_{i=1}^n p_i=1
200922-947-108	 { - t } 
2009220-1327-108	 \left ( \sum { o } \right ) 
formulaire026-equation013	5 = (\pm 2)^2 + (\pm 1)^2
MfrDB3297	\int\limits_{a}^{a} f ( x ) dx = 0
MfrDB3124	F ( x , y , z ) = G ( x , y ) + H ( y , z ) + 21
70_leissi	\cos \theta = \frac{x}{\sqrt{x^2 + y^2}}
93_carlos	r(r_0 \sin(\theta - \theta_0)- r_1 \sin (\theta - \theta_1) ) = r_0 r_1 \sin (\theta_1 - \theta_0)
200923-1253-257	 9.9 
TrainData2_23_sub_98	\lim_{x \rightarrow \frac{1}{4}} \frac{1 - 4^{x - \frac{1}{4}}}{1 - 4 x}
TrainData2_16_sub_51	\lim_{x \rightarrow \frac{\pi}{2} + 0} \tan x = - \infty
2009213-139-127	 { { - z } + \frac { \mbox { S } } { \alpha } } 
200924-1331-287	 \sum _ { { \mbox { I } = \mbox { b } } } ^ { \left ( \mbox { V } \right ) } { { v + \gamma } } 
2009212-1031-24	 2.99 
formulaire008-equation031	f(ab^{-1} - cd^{-1}) = 0
formulaire004-equation049	(p, g, h)
KME2G3_1_sub_53	\lim_{x \rightarrow 0} \frac {( 1 - \cos x ) ( 1 + \cos x )} {x^2 ( 1 + \cos x )}
200924-1312-192	 26 
MfrDB1271	\int\limits_{0}^{+ \infty} {x^{n}} {e^{- x}} dx = n !
32_em_204	\pm \sqrt x
200926-1550-143	 { \mbox { L } \mbox { X } } 
formulaire009-equation052	k \rightarrow \infty
KME2G3_1_sub_3	e_1^2 + e_2^3 + e_3^4 + e_4^5
formulaire037-equation045	97 - 187 \geq -90
MfrDB2263	{2^{2}}  3
MfrDB2010	f^{'} ( x ) = \frac{1}{2 \sqrt{x}}
KME2G3_3_sub_74	\int_{\log 3}^0 \frac 1 {e^t + 1} d t
200923-1251-243	 \sqrt { { \sqrt { \mbox { q } } } ^ { \mbox { p } } } 
2009212-952-41	 \frac { r } { \int q dR } 
200924-1312-49	 \cos \left ( 0 \right ) = 1 
formulaire002-equation056	y=x^{n}
200926-1550-48	 \sin \left ( \frac { \pi } { 3 } \right ) = \frac { 1 } { 2 } 
2009210-947-44	 \sin \left ( \frac { \pi } { 4 } \right ) = \frac { 1 } { \sqrt { 2 } } 
35_em_2	{(x + 2y)(x^2 - 2xy + 4y^2)}
516_em_388	\sqrt{\alpha^2 - \beta^2} t
200923-1253-166	 { \alpha z } 
200923-1251-186	 \left [ \sum { X } \right ] 
formulaire030-equation063	Y_3^2
formulaire026-equation016	\frac{\cos x + i \sin x}{e^{ix}}=1
TrainData1_3_sub_3	x^{2} + y^{2} \lt 1
MfrDB2064	\alpha + b = c
504_em_40	2^{n-1}+2^{n-2}\cdots 2+1=2^{n}-1
200925-1126-145	 { - \left [ 2 \right ] } 
122_em_334	I_c=f(V_{ce})
KME2G3_8_sub_70	[ \frac 2 3 ( 1 + \frac 9 4 x )^{\frac 3 2} \frac 4 9 ]_0^4
002-equation011	y_1(z)<y(z)<y_2(z)
115_em_134	\Delta H^0
RIT_2014_187	 1 m 
122_em_345	G(k, F(k,M))= M
200923-1553-228	 0 
formulaire007-equation009	\lim_{t\rightarrow t_0} y(t) = + \infty
RIT_2014_272	 40 
MfrDB2008	\sqrt{{x^{2}}} = | x |
formulaire024-equation044	m_1-m
TrainData2_14_sub_33	\log_{2} 8 + \log_{3} 9 + \log_{4} 1 6
200923-1254-185	 { - { 5 A } } 
MfrDB3394	\sum_{n = 0}^{\infty} f_{n} ( x )
TrainData2_0_sub_88	3 0 \times 2 9 x^{2 8}
RIT_2014_119	 n ^ {3} - n + 3 
125_em_444	dE=uI\times dt
200922-947-46	 \left ( \int t dd \right ) 
11_em_99	P^\mu P_\mu
TrainData1_1_sub_24	a \left( n \right) = \sum^{n}_{k = 1} \left( - 1 \right)^{n - k} k !
TrainData2_10_sub_88	3 0 \times 2 9 x^{2 8}
MfrDB1127	x = \sin ( \frac{\alpha}{2} )
RIT_2014_167	 \sqrt {c ^ {2}} = \sqrt {810000 + 562500} 
31_em_194	\frac{b^{2x}}{b^y}
KME2G3_20_sub_74	\int_{\log 3}^0 \frac 1 {e^t + 1} d t
200922-1017-106	 { 6 - \left [ \mbox { E } \right ] } 
