# Dataset 2016 Model 0118

Beam width: 5

## Highest Probability

|          Model | Token error rate | Token error rate (no special tokens) | Symbol error rate |
|---------------------------------------------|---------------------|-----------------------------------------|-------------------------------|
| xavier-gradnorm5.0-dropout-noteacher-1-0416 |               0.00% |                                   0.00% |                         0.09% |

## Mean

|                                       Model | Token error rate | Token error rate (no special tokens) | Symbol error rate |
|---------------------------------------------|------------------|--------------------------------------|-------------------|
| xavier-gradnorm5.0-dropout-noteacher-1-0416 |           48.21% |                               79.86% |            82.83% |

|                                       Model | Correct expressions | Correct expressions (no special tokens) | Correct expressions (Symbols) |
|---------------------------------------------|---------------------|-----------------------------------------|-------------------------------|
| xavier-gradnorm5.0-dropout-noteacher-1-0416 |               0.00% |                                   0.00% |                         0.03% |





# Dataset 2016

Beam width: 5

## Highest Probability

|                                                      Model | Token error rate | Token error rate (no special tokens) | Symbol error rate |
|------------------------------------------------------------|------------------|--------------------------------------|-------------------|
| xavier-gradnorm5.0-nodropout-teacher-nocrop-withpad-1-0050 |           37.80% |                               60.13% |            54.21% |

|                                                      Model | Correct expressions | Correct expressions (no special tokens) | Correct expressions (Symbols) |
|------------------------------------------------------------|---------------------|-----------------------------------------|-------------------------------|
| xavier-gradnorm5.0-nodropout-teacher-nocrop-withpad-1-0050 |               4.88% |                                   4.88% |                         8.37% |

## Best

|                                                      Model | Token error rate | Token error rate (no special tokens) | Symbol error rate |
|------------------------------------------------------------|------------------|--------------------------------------|-------------------|
| xavier-gradnorm5.0-nodropout-teacher-nocrop-withpad-1-0050 |           35.92% |                               57.78% |            51.50% |

|                                                      Model | Correct expressions | Correct expressions (no special tokens) | Correct expressions (Symbols) |
|------------------------------------------------------------|---------------------|-----------------------------------------|-------------------------------|
| xavier-gradnorm5.0-nodropout-teacher-nocrop-withpad-1-0050 |               8.28% |                                   8.28% |                        13.60% |

## Mean

|                                                      Model | Token error rate | Token error rate (no special tokens) | Symbol error rate |
|------------------------------------------------------------|------------------|--------------------------------------|-------------------|
| xavier-gradnorm5.0-nodropout-teacher-nocrop-withpad-1-0050 |           39.95% |                               64.32% |            55.93% |

|                                                      Model | Correct expressions | Correct expressions (no special tokens) | Correct expressions (Symbols) |
|------------------------------------------------------------|---------------------|-----------------------------------------|-------------------------------|
| xavier-gradnorm5.0-nodropout-teacher-nocrop-withpad-1-0050 |               1.78% |                                   1.81% |                         5.23% |

