TrainData1_4_sub_24	a \left( n \right) = \sum^{n}_{k = 1} \left( - 1 \right)^{n - k} k !
TrainData2_20_sub_63	\frac{1}{a} F \left( a x + b \right) + C
formulaire047-equation021	x^3-2
formulaire050-equation053	f(X)
MfrDB3385	\int\limits_{3}^{6} \int\limits_{2}^{4} 2 dx dy = 2 \cdot ( 6 - 3 ) \cdot ( 4 - 2 ) = 12
MfrDB3175	\frac{3 x + y}{z} = ( \frac{A - 1}{{x^{2}} + {y^{2}}} )
MfrDB1187	1 + 1 = 2
98_herbert	\cos \alpha = \frac{a}{\sqrt{a^2 + b^2 + c^2}}
200923-1253-158	 { { - q } - { \mbox { S } + H } } 
formulaire028-equation052	\lim_{n \rightarrow +\infty} (u_{2n+1}) = -\infty
200923-1251-5	 4 
200924-1331-5	 \sum _ { { \mbox { h } \geq \mbox { t } } } { \mbox { H } } 
formulaire013-equation012	m_1 = \frac{h(X_1) + \ldots + h(X_n)}{n}
TrainData2_17_sub_1	x_{1} + x_{2} = x_{3}
518_em_433	\mathrm{M}^n
200924-1331-270	 { - { { H } ^ { { \mbox { v } - \mbox { a } } } \mbox { bM } } } 
200924-1331-271	 6.2 
MfrDB1920	\sum_{m = 0}^{M} \sum_{n = 0}^{N} a_{m , n}
200922-1017-164	 \frac { \mbox { A } } { { \mbox { v } } ^ { g } } 
TrainData2_1_sub_98	\lim_{x \rightarrow \frac{1}{4}} \frac{1 - 4^{x - \frac{1}{4}}}{1 - 4 x}
TrainData2_22_sub_17	x_{1} - x_{2} + y_{1} - y_{2} + z_{1} - z_{2}
MfrDB2015	E = E_{k} + E_{p}
37_em_28	\sum F_z = 0
200923-1556-82	 \left [ { \cdots - z } \right ] 
200922-949-118	 \frac { { { - \mbox { g } } - \mbox { Y } } } { { \mbox { u } j } } 
2009220-1327-54	 \log _2 \left ( 2 ^ 5 \right ) = 5 
MfrDB0072	a + b = b + a
79_miguel	p = \sqrt{a^2 + b^2 - 2ab \cos A}
rit_4220_1	 9 \times 9 
118_em_230	1 = \frac{p e^{\frac {p}{q}}}{q}
KME2G3_10_sub_30	\sum_{i = 2 n + 3 m}^{1 0} i x
200923-1254-377	 3.8 
MfrDB3538	\lim_{n \to \infty} ( \sqrt{n + 2} - \sqrt{n} ) = 0
2009210-947-166	 \log 5 
TrainData2_13_sub_98	\lim_{x \rightarrow \frac{1}{4}} \frac{1 - 4^{x - \frac{1}{4}}}{1 - 4 x}
KME2G3_25_sub_38	\frac 2 {\frac {3 m - 2 n \times 9^n - 9^m} {2 n - 1}}
2009220-1327-51	 { { - \mbox { s } } + \frac { \mbox { T } } { L } } 
MfrDB3141	( \frac{1}{{m^{2}}} - \frac{3 m}{n} + \frac{2}{m n} )
formulaire008-equation049	\phi(u,v)
501_em_17	 \mu \pm \sigma 
80_Frank	\frac{1}{r^2} = \frac{1}{(R - m)^2} + \frac{1}{(R + m)^2}
MfrDB3065	h ( x , y ) = {x^{y + \frac{1}{y}}}
200924-1312-123	 \sum { \alpha } 
2009212-1031-129	 { \mbox { F } } _ { \mbox { C } } 
formulaire009-equation022	\lim_{x \rightarrow a}f(x) = 1
rit_42130_0	 \frac {5} {3} 
formulaire042-equation033	f^{-1}(n)
MfrDB1617	\sin ( 32 \pi )
formulaire018-equation024	p = \frac{(3k + 1)}{2}
MfrDB2925	( \frac{1}{{m^{2}}} - \frac{3 m}{n} + \frac{2}{m n} )
formulaire011-equation025	111 - 180 - 197 \leq -265
200923-1251-168	 { - A } 
200923-131-61	 k ^ 3 + 14 k ^ 2 - 132 k + 1789 
200922-947-21	 \sum { { f + r } } 
MfrDB0101	- 16 ( 4 {a^{3}} + 27 {b^{2}} ) = 0
200922-947-130	 { \sin } ^ { P } \mbox { L } 
rit_4235_0	 \frac {7} {5} 
200922-949-158	 \alpha 
formulaire032-equation046	\sin(nx)=0
formulaire038-equation007	(n,1)
KME1G3_1_sub_21	A = \sqrt {a + \frac 1 {\sqrt {a + \frac 1 {\sqrt a}}}} + \sqrt b
518_em_435	e^\phi + \frac 2 {\phi^3} - 3 \phi
formulaire029-equation061	\sqrt{b^2-4ac}
MfrDB3479	\frac{( x + 3 ) ( x - 5 )}{3 ( x - 1 )} \gt 0
126_carlos	| x - \frac{p_n}{q_n} | \leq \frac{1}{q_nq_{n+1}} \lt  \frac{1}{q_n^2}
rit_42145_1	 \cos ^ {n} \theta 
2009220-1327-113	 \sqrt { 5 } 
formulaire006-equation043	X_0(n)
200925-1126-139	 \left [ { o } ^ { q } \right ] 
200923-1253-168	 \mbox { Y } 
105_em_89	P_f=p_c\times (1-o_i-o_t)+o_t
RIT_2014_69	 \sqrt {\frac {1 + x} {1 - x}} = \sqrt {\frac {1 + x} {1 + x} \frac {1 + x} {1 - x}} = \frac {1 + x} {\sqrt {1 - x ^ {2}}} 
MfrDB1285	v = v_{0} t - g {t^{2}}
formulaire010-equation058	1+1=2
200926-1550-10	 { - \int \pi dI } 
formulaire036-equation010	102 \times (136  164) \geq 84
200926-1550-60	 \frac { \beta + \gamma } { \theta } 
104_em_50	To = \sqrt{\frac {2H} g}
70_edwin	\cos \theta = \frac{x}{\sqrt{x^2 + y^2}}
200926-131-207	 { p } _ { \mbox { i } } 
TrainData2_4_sub_15	\left( x^{3} - x^{2} - x \right) \left( 2 x - 7 \right)
2009210-947-45	 { { \mbox { x } + C } \gt \mbox { C } } 
formulaire049-equation003	a+i b
TrainData2_19_sub_39	\sin x - \sin y - \sin \left( x - y \right)
formulaire023-equation070	77 + 113 \geq 189
94_danilo	"\frac{a}{\sin A} = \frac{b}{\sin B} = \frac{c}{\sin C}
formulaire025-equation034	j^2 = +1
200923-1253-145	 { - u } 
rit_4270_2	 \frac {a} {b} 
TrainData2_21_sub_88	3 0 \times 2 9 x^{2 8}
200922-947-60	 \frac { \beta + \gamma } { \theta } 
TrainData2_20_sub_46	\lim_{x \rightarrow - 1} \frac{x^{3} + 1}{x + 1}
formulaire015-equation044	X_1, X_2, \ldots
TrainData2_13_sub_11	\sqrt{x - y - z + x^{2} + y^{2} + z^{2}}
RIT_2014_20	 \lbrack e \rbrack 
formulaire011-equation042	p^2\neq 0
KME2G3_0_sub_70	[ \frac 2 3 ( 1 + \frac 9 4 x )^{\frac 3 2} \frac 4 9 ]_0^4
MfrDB1705	\int\limits_{0}^{\infty} \sqrt{x} {e^{- x}} dx = \frac{1}{2} \sqrt{\pi}
MfrDB1616	\sin 32 \pi
MfrDB3068	\lim_{n \to \infty} \frac{n !}{\sqrt{2 \pi n} ( \frac{n}{e} )} = 1
formulaire016-equation021	a+0=a
formulaire002-equation015	89 \times ((155 \times 50) \div 132) \neq -1372
MfrDB2082	{x^{y}} - {y^{x}}
200923-1553-177	 { - \left [ { X - C } \right ] } 
KME2G3_11_sub_28	z_1^2 + 1^z - z_2^2 + 2^z
formulaire039-equation061	2^8=256
200923-1253-30	 \frac { - b + \sqrt { b ^ 2 - 4 a c } } { 2 a } 
MfrDB1909	\sin x + \sin y = 2 \sin ( \frac{x + y}{2} ) \cos ( \frac{x - y}{2} )
200924-1312-118	 \left [ { Y - f } \right ] 
formulaire055-equation022	\sqrt{n}
110_miguel	\frac{1}{\frac{1}{2}\Big( \frac{1}{a} + \frac{1}{b}\Big)} = \frac{2ab}{a+b}
2009210-947-16	 31 
formulaire019-equation002	a_1, b_1, a_2, b_2,\ldots a_g, b_g
200923-1254-301	 \sqrt { { \phi + \mbox { c } } } 
200926-1617-71	 \sqrt { \mbox { h } } 
formulaire003-equation016	r=\sqrt{\theta}
103_em_22	B(t)-B(s)
200925-1126-56	 2 \alpha + 3 \sqrt { \beta } 
106_em_108	P_{nmm}
KME1G3_7_sub_22	\lim_{x \rightarrow \infty} \int_0^x e^{- y^2} d y = \frac {\sqrt \pi} 2
2009213-137-94	 { \sqrt { m } } ^ { \mbox { m } } 
200923-131-344	 { Y + \mbox { e } } 
MfrDB2225	2 + 3 = 5
formulaire016-equation018	10a_5a_2 - 2a_4a_3 = 0
110_alfonso	\frac{1}{\frac{1}{2}\Big( \frac{1}{a} + \frac{1}{b}\Big)} = \frac{2ab}{a+b}
2009210-947-189	 \mbox { ac } 
200923-131-202	 { \mbox { Fl } } _ { X } 
200924-1331-88	 \beta 
MfrDB3399	\lim_{n \to \infty} \frac{1}{{n^{p}}} = 0
MfrDB2202	| a - b | \leq | a - c | + | c - b |
110_fujita	\frac{1}{\frac{1}{2}\Big( \frac{1}{a} + \frac{1}{b}\Big)} = \frac{2ab}{a+b}
formulaire030-equation006	\gamma=\frac {7}{5}
formulaire020-equation024	\lim_{n \rightarrow \infty}(u_n - u_{n-1})= l
formulaire038-equation055	65 + 28 + 151
formulaire016-equation010	136 \times (60 - 196 + 188) \geq 7071
formulaire034-equation018	5+9+5=19
TrainData1_5_sub_19	x = \frac{- b \pm \sqrt{b^{2} - 4 a c}}{2 a}
90_carlos	y = r \sin \theta
200923-1251-238	 \sqrt { \alpha } 
formulaire055-equation064	e(t)
2009212-952-117	 { \cdots + \mbox { s } } 
rit_4290_1	 a \leq x \leq 6 
TrainData2_6_sub_15	\left( x^{3} - x^{2} - x \right) \left( 2 x - 7 \right)
82_Fabricio	q = \sqrt{(\frac{B-A}{C})^2 + 1} + \frac{B-A}{C}
2009213-139-141	 { \cdots - 6 } 
MfrDB2287	5 0 ! \cdot n = 4 8 !
101_david	S = \Bigg( \sum_{i=1}^{n} \theta_i - (n-2)\pi \Bigg)r^2
96_user0	y = a S(t) = a \int_0^{t} \sin(\frac{1}{2}\pi s^2) ds
formulaire036-equation048	\sum_{i=1}^5 d_i^2=24
200923-1251-83	 \mbox { v } 
123_em_386	\Delta F \lt 0
200923-1553-270	 06 
MfrDB1526	a x + b \lt c
MfrDB3460	{x^{2}} - x - 6 \lt 0
200923-1253-146	 { 1 + { \mbox { G } } ^ { g } } 
formulaire023-equation018	\frac{a}{b}
formulaire030-equation035	162 \pm (82 \div 175) - 78
10_em_86	M \in S
formulaire011-equation064	p^a = \pi = p
formulaire029-equation068	i_{3} i_{1}=i_{2}
200923-1253-42	 \frac { 1 } { 3 } \pi r ^ 2 h 
MfrDB1796	\frac{10 0 !}{9 7 ! - 6 !}
MfrDB3405	{x^{y}} - {y^{x}}
37_em_12	u(x_b)=u_b(x_b)
formulaire012-equation057	c(x, y) = h(x - y)
MfrDB3245	v_{c} = v_{c - 1} ( \frac{r - c}{c} )
2009213-137-4	 \mbox { Sh } 
200926-1550-68	 \tan \left ( \frac { \pi } { 2 } \right ) = \infty 
MfrDB3870	\frac{a_{1} + a_{2} + {a^{3}}}{1 - x}
formulaire029-equation012	{({d t})^2} = \frac{l (d \theta)^2}{2g (\cos(\theta) - \cos(\theta_0))}
formulaire008-equation001	\sqrt{1-z^2}
formulaire018-equation046	z=r e^{i\theta}
formulaire004-equation046	\frac{b-a}{n}\leq\alpha
200926-1550-56	 2 \alpha + 3 \sqrt { \beta } 
123_em_385	\gamma=\frac{4 \pi^2 m V_0}{p_0 S^2 T^2}
MfrDB3502	\frac{\sqrt{99 {x^{7}}}}{11 {x^{3}}}
MfrDB3201	\lim_{x \to c} f ( x ) = f ( c )
MfrDB3098	f ( x , y ) = f_{1} ( x y ) + f_{2} ( \frac{x}{y} )
TrainData2_11_sub_41	\frac{\tan \alpha - \tan \beta}{1 + \tan \alpha \tan \beta}
94_Frank	\frac{a}{\sin A} = \frac{b}{\sin B} = \frac{c}{\sin C}"
MfrDB3837	{( x + 1 )^{n + 1}} = ( x + 1 ) {( x + 1 )^{n}}
2009212-1031-128	 \frac { b } { \sum { \mbox { N } } } 
75_caue	c^2 = a^2 + b^2 - 2ab \cos C
formulaire011-equation010	64  (78 - 9 - 167) = -0.65
200924-1312-6	 \sum _ { n = 1 } ^ N \left ( - 1 \right ) ^ n \sin \left ( n x \right ) 
200923-1556-38	 \frac { 4 } { 3 } \pi r ^ 3 
200923-1253-241	 { { - \mbox { q } } - z } 
MfrDB0757	x + 2 = 10
2009213-139-15	 \sum _ { { \mbox { n } \geq w } } { \mbox { j } } 
80_Fabricio	\frac{1}{r^2} = \frac{1}{(R - m)^2} + \frac{1}{(R + m)^2}
MfrDB3847	3 {a^{2}} {b^{3}} + 5 {a^{3}} {b^{2}} - \frac{{a^{5}} {b^{8}}}{2}
2009213-137-200	 \mbox { hv } 
TrainData2_13_sub_20	a + b + c + d + e
formulaire046-equation068	f(a_1) = f(a_2)
200922-949-203	 \left [ \left [ \mbox { o } \right ] \right ] 
MfrDB0594	x = {y^{2}}
200923-1553-89	 \lambda 
KME2G3_8_sub_53	\lim_{x \rightarrow 0} \frac {( 1 - \cos x ) ( 1 + \cos x )} {x^2 ( 1 + \cos x )}
formulaire025-equation015	(140  16) \times 92 \leq 805
MfrDB0090	\lim_{x \to 0} \frac{\cos x - 1}{x} = 0
formulaire052-equation057	\frac{X_1 + \ldots + X_n}{n}
506_em_67	\lim_{n\rightarrow\infty}\frac{8}{n^3}\sum_{i=1}^ni^2
formulaire022-equation000	152 + 156 \geq 307
MfrDB1434	\sqrt[5]{55}
TrainData2_7_sub_15	\left( x^{3} - x^{2} - x \right) \left( 2 x - 7 \right)
TrainData2_14_sub_33	\log_{2} 8 + \log_{3} 9 + \log_{4} 1 6
formulaire009-equation025	34 \pm 89 \times 128
RIT_2014_184	 \lim \limits _ {b \rightarrow \infty} f (b) = 0 
200924-1312-223	 p 
200923-131-324	 \mbox { j } 
formulaire026-equation039	p(t)
formulaire013-equation004	(\cos(a), \sin(a))
120_em_297	P(X_1, \ldots, X_N) = \frac{e^{-\frac{E}{k_B T}}}{\int dX_1 dX_2 \ldots}
70_user0	\cos \theta = \frac{x}{\sqrt{x^2 + y^2}}
formulaire030-equation029	t\times n_{a} = p\times n_{b}
formulaire014-equation016	k=-\frac{1}{2}
200923-1553-167	 X 
MfrDB1481	\int\limits_{0}^{1} \int\limits_{0}^{1} {x^{2}} {y^{2}} dx dy
2009210-947-69	 \int ^ { { - \mbox { p } } } _ { \sum { j } } { \mbox { w } \mbox { x } } d \alpha 
formulaire027-equation023	\sum x_n
200923-131-231	 \sum { { \mbox { v } + f } } 
200923-131-294	 \pi 
KME2G3_6_sub_65	[ \frac 2 3 x^{\frac 3 2} ]_0^1
RIT_2014_128	 F _ {2} = 2 ^ {2 ^ {2}} + 1 = 17 
KME2G3_8_sub_96	[ b^x \{ ( \frac a b )^x + 1 \} ]^{\frac 1 x}
TrainData2_22_sub_15	\left( x^{3} - x^{2} - x \right) \left( 2 x - 7 \right)
200923-1556-32	 a x ^ 4 + b x + c = 0 
formulaire010-equation046	{+\frac{\pi}{3}}
200923-1251-116	 { \sqrt { \mbox { F } } } ^ { \left [ \mbox { k } \right ] } \left ( \lambda \right ) 
200926-1617-168	 { R } _ { \mbox { V } } 
200922-947-207	 { - { g \mbox { m } } } 
200926-131-208	 { { \sin } ^ { \mbox { F } } \frac { V } { { \mu i } } } ^ { \mbox { v } \left ( \mbox { E } \right ) } 
20_em_37	\frac{3 \times 3^2}{2} + \frac{5 \times (-5)^2}{2} = \frac{3 \times {v_1}^2}{2} + \frac{5 \times {v_2}^2}{2}
117_em_201	o \in Nil(A)
TrainData2_14_sub_11	\sqrt{x - y - z + x^{2} + y^{2} + z^{2}}
formulaire002-equation025	((84  113)  51) - 119 = -118.99
formulaire009-equation054	q_{n-1} = a_n
TrainData2_25_sub_33	\log_{2} 8 + \log_{3} 9 + \log_{4} 1 6
MfrDB1136	y = \frac{- a \pm \sqrt{{b^{2}} - 4 a c}}{2 a}
formulaire042-equation017	\sum_{k=1}^\infty X_k
200923-1253-31	 \frac { - b - \sqrt { b ^ 2 - 4 a c } } { 2 a } 
128_em_525	d \times (-d^{\prime}) = (- dd^{\prime})
formulaire024-equation023	g={g_x}
formulaire027-equation021	\sqrt{ \frac{1 + \sin^2 \alpha}{2}} = \cos \alpha
formulaire049-equation013	\frac{7}{5}
MfrDB3494	\sum_{n = 0}^{\infty} f_{n} ( x )
rit_42120_2	 \lim _ {x \rightarrow + \infty} \log _ {a} x = + \infty 
RIT_2014_38	 - \frac {11} {12} y _ {n + 1} + \frac {5} {3} y _ {n} - \frac {1} {2} y _ {n - 1} - \frac {1} {3} y _ {n - 2} + \frac {1} {12} y _ {n - 3} 
MfrDB3248	f ( x , y ) = f_{1} ( x y ) + f_{2} ( \frac{x}{y} )
34_em_235	1 - w
TrainData2_1_sub_9	\sqrt{b^{2} - 4 a c}
formulaire020-equation012	\frac{1}{2}a p
formulaire056-equation006	f(x)=x^n
81_david	A_{2k} = \frac{2RA_k}{2R + \sqrt{4R^2 + A^2_k}}
formulaire051-equation067	(\pm1, \pm1, \pm1)
formulaire041-equation023	\theta (0) = 1
512_em_285	X_n^2
37_em_24	\lim_{n\rightarrow\infty}\frac{2}{n}\sum_{i=1}^n\frac{4i^2}{n^2}
TrainData2_4_sub_29	x^{i + 2 j \times k^{3} - 2 \frac{j}{i}}
2009213-139-18	 a ^ x + b ^ x + \frac { c } { 2 } 
200923-131-313	 { \int q d \sigma + { \mbox { a } } ^ { q } } 
TrainData2_19_sub_49	1 + \frac{1}{1 !} + \frac{1}{2 !} + \frac{1}{3 !} + \frac{1}{4 !}
rit_42180_1	 \int _ {1} ^ {2} x d x 
93_miguel	r(r_0 \sin(\theta - \theta_0)- r_1 \sin (\theta - \theta_1) ) = r_0 r_1 \sin (\theta_1 - \theta_0)
TrainData2_16_sub_20	a + b + c + d + e
formulaire017-equation058	(2\sqrt{21}-9 )x^{2}+x+3\sqrt{21}-13-(5\sqrt{7}-7\sqrt{3})i = 0
formulaire005-equation006	e^{X}e^{Y}
formulaire029-equation053	\cos(\theta)= \frac{1-2}{1+2} = -\frac { 1}{3}
200923-1553-242	 { j } _ { \mbox { y } } 
MfrDB1235	{x^{y}} - {y^{x}}
TrainData1_1_sub_9	\sin^{2} \theta + \cos^{2} \theta = 1
106_em_91	y\times y^{\prime}-x\times x^{\prime}\geq 0
123_em_390	T=1
130_caue	\frac{1}{4}+\Bigg( \frac{1}{4} \Bigg)^2 + \Bigg( \frac{1}{4} \Bigg)^3+\cdots = \frac{1}{3}
TrainData1_7_sub_7	\tan z = \frac{\sin z}{\cos z}
200922-1017-15	 { { \mu + \sum { \mbox { A } } } \leq \sum { \mbox { j } } } 
KME2G3_1_sub_42	\sqrt 2 ( \frac 1 {\sqrt 2} \sin x + \frac 1 {\sqrt 2} \cos x )
200923-1556-61	 k ^ 3 + 14 k ^ 2 - 132 k + 1789 
200923-1254-33	 \mbox { oP } 
200923-1253-48	 \sin \left ( \frac { \pi } { 3 } \right ) = \frac { 1 } { 2 } 
TrainData2_20_sub_20	a + b + c + d + e
37_em_11	w^{-2}
formulaire039-equation048	y(x) = 0
formulaire055-equation032	p=\sum_{i\leq d} a_i2^i
formulaire013-equation074	y-\phi_{ij}(x)
TrainData2_23_sub_51	\lim_{x \rightarrow \frac{\pi}{2} + 0} \tan x = - \infty
200922-947-232	 \int \left ( x \right ) dT 
formulaire005-equation033	\sum \frac{f(n)}{n^s}
516_em_383	 r(x) 
200923-1553-186	 \sqrt { { \mbox { N } - \mbox { P } } } 
200923-131-107	 \pi 
79_caue	p = \sqrt{a^2 + b^2 - 2ab \cos A}
formulaire036-equation036	s_{deb}
formulaire032-equation018	27a_4a_1^2-72a_4a_2a_0+2a_2^3-9a_3a_2a_1+27a_3^2a_0=0
2009210-947-116	 { { - F } - { F } ^ { x } } 
MfrDB3169	( \frac{1}{{m^{2}}} - \frac{3 m}{n} + \frac{2}{m n} )
